timestamp,time,grid_load_kw,charging_power_kw,soc_percent,charger_utilization,peak_demand_kw,solar_generation_kw,renewable_ratio,battery_health_percent,degradation_score,thermal_index,charging_stress_score,grid_stress_index,anomaly_score,carbon_savings_kg,rl_reward_signal,normalized_load,normalized_soc,normalized_stress,renewable_state,peak_penalty,station_efficiency_score,renewable_utilization_score,predicted_peak_risk,charging_queue_index,battery_risk_level,chargerA,chargerB,chargerC,chargerD,load,grid_load,soc,solar_kw,grid_load_kw_ma3,grid_load_kw_ma6,charging_power_kw_ma3,load_lag1,load_lag3,soc_lag1
2020-09-25 04:00:00+00:00,21:00,95.8,0.8033333333333333,35.9,0.05,95.8,0.0,0.0,94.3,1.69,27.0,4.9,0.4164,0.0,0.0,-0.1927,0.8919,0.359,0.049,0.0,0.0,0.25,0.0,0.3659,0.2,0.0,0.0,0.0,0.0,0.0,95.8,95.8,35.9,0.0,95.8,95.8,0.8,95.8,95.8,35.9
2020-09-25 05:00:00+00:00,22:00,95.8,0.8033333333333333,38.3,0.05,95.8,0.0,0.0,94.2,1.7,27.0,4.9,0.4164,0.0,0.0,-0.1831,0.8919,0.407,0.049,0.0,0.0,0.25,0.0,0.3659,0.2,0.0,0.0,0.0,0.0,0.0,95.8,95.8,38.3,0.0,95.8,95.8,0.8,95.8,95.8,35.9
2020-09-25 06:00:00+00:00,23:00,95.8,0.8033333333333333,41.9,0.05,95.8,0.0,0.0,94.2,1.71,27.0,4.9,0.4164,0.0,0.0,-0.1735,0.8919,0.455,0.049,0.0,0.0,0.25,0.0,0.3659,0.2,0.0,0.0,0.0,0.0,0.0,95.8,95.8,41.9,0.0,95.8,95.8,0.8,95.8,95.8,40.7
2020-09-25 16:00:00+00:00,09:00,95.57,0.45899999999999996,38.8,0.05,95.8,71.46,0.7486,94.3,1.67,26.7,3.4,0.4149,1.5,30.01,0.3262,0.8887,0.358,0.034,0.4281,0.0,0.25,0.4281,0.3474,0.2,0.0,0.0,0.0,0.0,0.0,95.57,95.57,38.8,71.46,95.69,95.72,0.69,95.8,95.8,45.5
2020-09-25 17:00:00+00:00,10:00,95.5,0.45899999999999996,38.3,0.05,95.8,88.49,0.927,94.3,1.68,26.7,3.4,0.4149,1.095,37.17,0.3936,0.8887,0.377,0.034,0.4811,0.0,0.25,0.4811,0.3474,0.2,0.0,0.0,0.0,0.0,0.0,95.5,95.5,38.3,88.49,95.57,95.66,0.57,95.46,95.8,35.8
2020-09-25 18:00:00+00:00,11:00,95.47,0.45899999999999996,38.9,0.05,95.8,108.65,1.1382,94.3,1.69,26.7,3.4,0.4149,0.913,45.63,0.4586,0.8887,0.395,0.034,0.5323,0.0,0.25,0.5323,0.3474,0.2,0.0,0.0,0.0,0.0,0.0,95.47,95.47,38.9,108.65,95.46,95.63,0.46,95.46,95.8,37.7
2020-09-25 19:00:00+00:00,12:00,95.46,0.45899999999999996,40.1,0.05,95.8,118.99,1.2,94.2,1.7,26.7,3.4,0.4149,0.645,49.98,0.4895,0.8887,0.414,0.034,0.5549,0.0,0.25,0.5549,0.3474,0.2,0.0,0.0,0.0,0.0,0.0,95.46,95.46,40.1,118.99,95.46,95.57,0.46,95.46,95.46,39.5
2020-09-25 20:00:00+00:00,13:00,95.46,0.45899999999999996,41.7,0.05,95.8,115.12,1.2,94.2,1.71,26.7,3.4,0.4149,0.408,48.35,0.4835,0.8887,0.433,0.034,0.5467,0.0,0.25,0.5467,0.3474,0.2,0.0,0.0,0.0,0.0,0.0,95.46,95.46,41.7,115.12,95.46,95.52,0.46,95.46,95.46,41.4
2020-09-25 21:00:00+00:00,14:00,95.46,0.45899999999999996,43.4,0.05,95.8,113.38,1.1877,94.2,1.72,26.7,3.4,0.4149,0.0,47.62,0.4825,0.8887,0.451,0.034,0.5429,0.0,0.25,0.5429,0.3474,0.2,0.0,0.0,0.0,0.0,0.0,95.46,95.46,43.4,113.38,95.46,95.46,0.46,95.46,95.46,43.3
2020-09-25 22:00:00+00:00,15:00,95.46,0.45899999999999996,45.2,0.05,95.8,107.09,1.1218,94.2,1.73,26.7,3.4,0.4149,0.0,44.98,0.4693,0.8887,0.47,0.034,0.5287,0.0,0.25,0.5287,0.3474,0.2,0.0,0.0,0.0,0.0,0.0,95.46,95.46,45.2,107.09,95.46,95.46,0.46,95.46,95.46,45.1
