episode,steps,episode_reward,critic_loss,actor_loss,noise_sigma,renewable_efficiency,stress_reduction,battery_protection_score,peak_reduction,total_steps
1,128,68.3931,0.0,0.0,0.1999,0.3819,0.0408,0.5852,42.795,128
2,128,70.4483,0.0,0.0,0.1998,0.4445,0.0,0.5657,40.005,256
3,128,64.349,0.0,0.0,0.1997,0.3812,0.0,0.5782,27.225,384
4,128,69.0663,0.294873,-0.280176,0.1996,0.3759,0.1068,0.5866,42.795,512
5,128,79.7514,0.017999,-0.926975,0.1995,0.2899,0.0,0.6271,50.04,640
6,128,118.4717,0.021795,-1.674818,0.1994,0.3111,0.0,0.6191,50.04,768
7,128,121.2414,0.034856,-2.281458,0.1993,0.293,0.0,0.6259,49.095,896
8,128,124.4447,0.049375,-2.908943,0.1992,0.5134,0.0948,0.5852,40.005,1024
9,128,129.809,0.074909,-3.514686,0.1991,0.4768,0.0,0.5835,28.575,1152
10,128,116.9428,0.10543,-4.088609,0.199,0.3855,0.072,0.5792,27.225,1280
11,128,123.4204,0.142777,-4.699796,0.1989,0.4735,0.0012,0.5762,40.005,1408
12,128,127.9744,0.181377,-5.302854,0.1988,0.4395,0.0588,0.5842,27.765,1536
13,128,116.1667,0.215291,-5.856421,0.1987,0.3778,0.072,0.5797,27.225,1664
14,128,126.9824,0.254685,-6.435735,0.1986,0.4128,0.0696,0.5723,27.765,1792
15,128,122.5938,0.281744,-7.054225,0.19851,0.322,0.0,0.6265,50.04,1920
16,128,124.7675,0.344709,-7.620456,0.19841,0.402,0.0732,0.5779,42.795,2048
17,128,122.3861,0.43144,-8.159272,0.19831,0.4853,0.0,0.5851,40.005,2176
18,128,121.5026,0.508741,-8.759241,0.19821,0.3223,0.1944,0.608,50.985,2304
19,128,126.4587,0.553642,-9.370596,0.19811,0.4209,0.0972,0.5875,42.795,2432
20,128,126.2241,0.61266,-9.920435,0.19801,0.42,0.0,0.5926,42.795,2560,77.1583,0.5122,0.0,0.5618,30.24
21,128,123.8691,0.640623,-10.484066,0.19791,0.3833,0.0,0.5916,42.795,2688
